Target Pref Name,DLiP-ID,Informative Target Pref Name
BCL2-Like_BAX,I000H5,MCL1/BAX
BCL2-Like_BAX,I000H6,
BCL2-Like_BAX,I000H8,BCL2/BAX
BCL2-Like_BAX,I000H8,BCL2/BAX
BCL2-Like_BAX,I000HE,
BCL2-Like_BAX,I000HF,B2CL1/BAX
BCL2-Like_BAX,I000HF,BCL2/BAX
BCL2-Like_BAX,I000HF,B2CL1/BAX
BCL2-Like_BAX,I000HF,BCL2/BAX
BCL2-Like_BAX,I000HJ,BCL2/BAX
BCL2-Like_BAX,I000HJ,BCL2/BAX
BCL2-Like_BAX,I000I9,BCL2/BAX
BCL2-Like_BAX,I000I9,BCL2/BAX
BCL2-Like_BAX,I000IB,B2CL1/BAX
BCL2-Like_BAX,I000IB,BCL2/BAX
BCL2-Like_BAX,I000IB,B2CL1/BAX
BCL2-Like_BAX,I000IB,BCL2/BAX
BCL2-Like_BAX,I000IC,
BCL2-Like_BAX,I000IG,B2CL2/BAX
BCL2-Like_BAX,I000IG,BCL2/BAX
BCL2-Like_BAX,I000IG,B2CL2/BAX
BCL2-Like_BAX,I000IG,BCL2/BAX
BCL2-Like_BAX,I000IH,
BCL2-Like_BAX,I000IJ,BCL2/BAX
BCL2-Like_BAX,I000IJ,BCL2/BAX
BCL2-Like_BAX,I000IP,BCL2/BAX
BCL2-Like_BAX,I000IP,B2CL1/BAX
BCL2-Like_BAX,I000IP,BCL2/BAX
BCL2-Like_BAX,I000IP,MCL1/BAX
BCL2-Like_BAX,I000IP,B2LA1/BAX
BCL2-Like_BAX,I000IP,B2CL1/BAX
BCL2-Like_BAX,I000IP,MCL1/BAX
BCL2-Like_BAX,I000IP,B2LA1/BAX
BCL2-Like_BAX,I000IQ,
BCL2-Like_BAX,I000IR,
BCL2-Like_BAX,I000IS,
BCL2-Like_BAX,I000IU,BCL2/BAX
BCL2-Like_BAX,I000IU,B2CL1/BAX
BCL2-Like_BAX,I000IU,BCL2/BAX
BCL2-Like_BAX,I000IU,B2CL1/BAX
BCL2-Like_BAX,I000IV,
BCL2-Like_BAX,I000IW,
BCL2-Like_BAX,I000IX,MCL1/BAX
BCL2-Like_BAX,I000IX,BCL2/BAX
BCL2-Like_BAX,I000IX,BCL2/BAX
BCL2-Like_BAX,I000IX,MCL1/BAX
BCL2-Like_BAX,I000J1,BCL2/BAX
BCL2-Like_BAX,I000J1,BCL2/BAX
BCL2-Like_BAX,I000J2,BCL2/BAX
BCL2-Like_BAX,I000J2,BCL2/BAX
BCL2-Like_BAX,I000J9,BCL2/BAX
BCL2-Like_BAX,I000J9,B2CL1/BAX
BCL2-Like_BAX,I000J9,BCL2/BAX
BCL2-Like_BAX,I000J9,B2CL1/BAX
BCL2-Like_BAX,I000JA,
BCL2-Like_BAX,I000JM,BCL2/BAX
BCL2-Like_BAX,I000JM,MCL1/BAX
BCL2-Like_BAX,I000JM,BCL2/BAX
BCL2-Like_BAX,I000JM,MCL1/BAX
BCL2-Like_BAX,I000JN,
BCL2-Like_BAX,I000JU,BCL2/BAX
BCL2-Like_BAX,I000JU,BCL2/BAX
BCL2-Like_BAX,I000JU,MCL1/BAX
BCL2-Like_BAX,I000JU,MCL1/BAX
BCL2-Like_BAX,I000JV,
BCL2-Like_BAX,I000JX,
BCL2-Like_BAX,I000JY,BCL2/BAX
BCL2-Like_BAX,I000JY,B2CL1/BAX
BCL2-Like_BAX,I000JY,B2CL1/BAX
BCL2-Like_BAX,I000JY,BCL2/BAX
BCL2-Like_BAX,I000K3,
BCL2-Like_BAX,I000K4,B2CL2/BAX
BCL2-Like_BAX,I000K4,B2CL1/BAX
BCL2-Like_BAX,I000K4,B2CL1/BAX
BCL2-Like_BAX,I000K4,B2CL2/BAX
BCL2-Like_BAX,I000LD,
BCL2-Like_BAX,I000KM,B2CL1/BAX
BCL2-Like_BAX,I000KM,B2CL1/BAX
BCL2-Like_BAX,I000LE,BCL2/BAX
BCL2-Like_BAX,I000LE,B2CL1/BAX
BCL2-Like_BAX,I000LE,BCL2/BAX
BCL2-Like_BAX,I000LE,B2CL1/BAX
BCL2-Like_BAX,I000L5,B2CL1/BAX
BCL2-Like_BAX,I000L5,B2CL1/BAX
BCL2-Like_BAX,I000LF,B2CL1/BAX
BCL2-Like_BAX,I000LF,BCL2/BAX
BCL2-Like_BAX,I000LF,B2CL1/BAX
BCL2-Like_BAX,I000LF,BCL2/BAX
BCL2-Like_BAX,I000LG,
BCL2-Like_BAX,I000LJ,
BCL2-Like_BAX,I000LK,BCL2/BAX
BCL2-Like_BAX,I000LK,B2CL1/BAX
BCL2-Like_BAX,I000LK,B2CL1/BAX
BCL2-Like_BAX,I000LK,BCL2/BAX
BCL2-Like_BAX,I000LT,
BCL2-Like_BAX,I000LL,BCL2/BAX
BCL2-Like_BAX,I000LL,BCL2/BAX
BCL2-Like_BAX,I000LO,
BCL2-Like_BAX,I000LP,MCL1/BAX
BCL2-Like_BAX,I000LP,BCL2/BAX
BCL2-Like_BAX,I000LP,MCL1/BAX
BCL2-Like_BAX,I000LP,BCL2/BAX
BCL2-Like_BAX,I000LU,B2CL1/BAX
BCL2-Like_BAX,I000LU,BCL2/BAX
BCL2-Like_BAX,I000LU,BCL2/BAX
BCL2-Like_BAX,I000LU,B2CL1/BAX
BCL2-Like_BAX,I000LX,BCL2/BAX
BCL2-Like_BAX,I000LX,BCL2/BAX
BCL2-Like_BAX,I000MB,BCL2/BAX
BCL2-Like_BAX,I000MB,BCL2/BAX
BCL2-Like_BAX,I000MH,BCL2/BAX
BCL2-Like_BAX,I000MH,B2CL1/BAX
